label,n_before,n_deduped,n_after,div_before,div_after,kept_pct
ovos-skill-volume.openvoiceos:less_volume,77,77,25,0.9768,1.0,32.5
ovos-skill-alerts.openvoiceos:AddListSubitems,75,75,25,0.9207,0.9635,33.3
ovos-skill-screenshot.openvoiceos:take.screenshot.intent,70,68,25,0.9386,0.9834,35.7
ovos-skill-diagnostics.openvoiceos:query_gpu.intent,70,66,25,0.8978,0.8946,35.7
ovos-skill-diagnostics.openvoiceos:query_kernel_version.intent,69,65,25,0.8815,0.9286,36.2
ovos-skill-parrot.openvoiceos:speak.intent,68,57,25,0.8779,0.8871,36.8
ovos-skill-moviemaster.openvoiceos:movie.cast.intent,65,65,25,0.8589,0.919,38.5
ovos-skill-wordnet.openvoiceos:lemma.intent,64,64,25,0.8084,0.8822,39.1
ovos-skill-camera.openvoiceos:take_picture.intent,63,59,25,0.9056,0.9517,39.7
ovos-skill-fuster-quotes.openvoiceos:fuster_quotes.intent,61,61,25,0.9147,0.9552,41.0
ovos-skill-camera.openvoiceos:have_camera.intent,61,55,25,0.9523,0.9707,41.0
ovos-skill-days-in-history.openvoiceos:births_in_history.intent,60,60,25,0.9421,0.9783,41.7
ovos-skill-alerts.openvoiceos:CreateReminder,59,58,25,0.9527,0.9702,42.4
ovos-skill-randomness.openvoiceos:flip-a-coin.intent,54,54,25,0.9545,0.9733,46.3
ovos-skill-alerts.openvoiceos:CancelAlert,53,53,25,0.9549,0.9793,47.2
ovos-skill-alerts.openvoiceos:DeleteListEntries,52,52,25,0.8889,0.9214,48.1
ovos-skill-alerts.openvoiceos:DeleteTodoEntries,49,49,25,0.9699,0.987,51.0
ovos-skill-iss-location.openvoiceos:WhoISSIntent,49,49,25,0.9444,0.9571,51.0
ovos-skill-application-launcher.openvoiceos:launch.intent,49,46,25,0.8115,0.7427,51.0
ovos-skill-weather.openvoiceos:N_days_forecast,48,48,25,0.8654,0.8917,52.1
ovos-skill-ip.openvoiceos:IPIntent,47,47,25,0.8798,0.9093,53.2
ovos-skill-ddg.openvoiceos:born.intent,47,47,25,0.8894,0.9069,53.2
ovos-skill-alerts.openvoiceos:RescheduleAlert,47,47,25,0.9475,0.9705,53.2
ovos-skill-weather.openvoiceos:hourly_temperature,45,45,25,0.8692,0.9007,55.6
ovos-skill-ddg.openvoiceos:age_at_death.intent,45,45,25,0.8872,0.9292,55.6
ovos-skill-volume.openvoiceos:volume.mute.toggle.intent,44,42,25,0.9506,0.9736,56.8
ovos-skill-ddg.openvoiceos:died.intent,43,42,25,0.8632,0.9046,58.1
ovos-skill-application-launcher.openvoiceos:close.intent,42,41,25,0.7714,0.706,59.5
ovos-skill-alerts.openvoiceos:CreateList,42,42,25,0.8814,0.917,59.5
ovos-skill-confucius-quotes.openvoiceos:ConfuciusQuote,42,42,25,0.9454,0.9576,59.5
ovos-skill-weather.openvoiceos:sunset,42,42,25,0.9102,0.9387,59.5
ovos-skill-days-in-history.openvoiceos:deaths_in_history.intent,41,41,25,0.8749,0.968,61.0
ovos-skill-randomness.openvoiceos:fortune-teller.intent,41,41,25,0.9121,0.9397,61.0
ovos-skill-ddg.openvoiceos:birthdate.intent,41,38,25,0.872,0.892,61.0
ovos-skill-weather.openvoiceos:sunrise,41,41,25,0.9148,0.9361,61.0
ovos-skill-moviemaster.openvoiceos:movie.production.intent,40,40,25,0.8457,0.8491,62.5
ovos-skill-alerts.openvoiceos:DeleteList,39,39,25,0.9279,0.9563,64.1
ovos-skill-hello-world.openvoiceos:ThankYouIntent,37,36,25,0.984,0.9943,67.6
ovos-skill-alerts.openvoiceos:ChangeProperties,37,37,25,0.9612,0.9751,67.6
ovos-skill-weather.openvoiceos:is_clear,36,36,25,0.8904,0.8968,69.4
ovos-skill-confucius-quotes.openvoiceos:ConfuciusDeath,35,35,25,0.9589,0.9718,71.4
ovos-skill-confucius-quotes.openvoiceos:ConfuciusBirth,34,34,25,0.9646,0.9728,73.5
ovos-skill-alerts.openvoiceos:CreateTimer,34,34,25,0.9068,0.9257,73.5
ovos-skill-weather.openvoiceos:condition,33,33,25,0.9121,0.9289,75.8
ovos-skill-wordnet.openvoiceos:synonym.intent,33,33,25,0.958,0.9722,75.8
ovos-skill-weather.openvoiceos:forecast,33,33,25,0.8795,0.8931,75.8
ovos-skill-alerts.openvoiceos:CreateEvent,32,32,25,0.9418,0.9576,78.1
ovos-skill-weather.openvoiceos:current_temperature,31,31,25,0.8805,0.8954,80.6
ovos-skill-laugh.openvoiceos:haunted.intent,31,31,25,0.9737,0.9771,80.6
ovos-skill-naptime.openvoiceos:WakeUp,31,31,25,0.9677,0.9811,80.6
ovos-skill-volume.openvoiceos:change_volume,30,30,25,0.9637,0.9668,83.3
ovos-skill-wikipedia.openvoiceos:common_query,30,30,25,0.931,0.9343,83.3
ovos-skill-randomness.openvoiceos:roll-multiple-dice.intent,29,29,25,0.7907,0.7943,86.2
ovos-skill-color-picker.krisgesling:request-color-by-name.intent,29,23,23,0.8372,0.8651,79.3
common_query:wiki.intent,28,28,25,0.9008,0.9152,89.3
ovos-skill-color-picker.krisgesling.openvoiceos:request-color-by-name.intent,28,28,25,0.9561,0.9607,89.3
ovos-skill-iss-location.openvoiceos:NumberISSIntent,28,27,25,0.9528,0.9603,89.3
ovos-skill-ddg.openvoiceos:education.intent,27,26,25,0.8962,0.8966,92.6
ovos-skill-alerts.openvoiceos:CalendarList,26,26,25,0.9412,0.9427,96.2
ovos-skill-alerts.openvoiceos:QueryTodoEntries,26,26,25,0.9755,0.9745,96.2
ovos-skill-randomness.openvoiceos:roll-single-die.intent,26,26,25,0.8756,0.8839,96.2
ovos-skill-alerts.openvoiceos:QueryListNames,25,25,25,0.9352,0.9352,100.0
ovos-skill-confucius-quotes.openvoiceos:who.intent,25,23,23,0.9503,0.9549,92.0
ovos-skill-alerts.openvoiceos:QueryListEntries,25,25,25,0.9244,0.9244,100.0
ovos-skill-wallpapers.openvoiceos:MakeWallpaperIntent,24,24,24,0.946,0.946,100.0
